ISIN_BC;FISN;companyDomicile;Biodiversity;Environmental;Fossil fuels;Greenhouse gas emissions;Scoping according to SFDR annex template;Social;Waste;Water
AT0000774484_15;AMUNDI/AMU ETH FDS EVO A;Austria;1.0;1.0;0.0;1.0;0.3333333333333333;1.0;1.0;1.0
AT0000784756_3313;KEPLER FDS/KEPLER EURO PL RF A;Austria;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AT0000785340_17;RAIFF KAG/RAI ESG GLO RENT R V;Austria;1.0;1.0;0.0;1.0;0.5;1.0;1.0;1.0
AT0000799804_3231;KEPLER FDS/KEPLER DOLLAR RF A USD;Austria;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AT0000799820_3313;KEPLER FDS/KEPLER ETH QU AKTF A;Austria;1.0;0.0;0.0;1.0;0.5;0.0;1.0;1.0
AT0000799846_18;KEPLER FDS/KEPLER EUROPA RF A;Austria;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AT0000799861_18;KEPLER FDS/KEPLER VORS RF A;Austria;1.0;0.0;0.0;1.0;0.5;1.0;1.0;1.0
AT0000801071_3230;AMUNDI/AMU OE SO MIX MOD T;Austria;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0
AT0000801097_3230;AMUNDI/AMUNDI MEGA TRENDS T;Austria;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0
AT0000802491_3230;EAM/YOU I GR PF 30 EUR R01 A;Austria;1.0;1.0;0.0;1.0;0.6666666666666666;1.0;1.0;1.0
AT0000803689_13;GUTM KAG/PRIME VAL GROW EUR R A;Austria;1.0;1.0;0.0;1.0;0.5;1.0;1.0;1.0
AT0000803697_3233;GUTM KAG/PRIME VAL GROW CHF A H;Austria;1.0;1.0;0.0;1.0;0.5;1.0;1.0;1.0
AT0000805221_2779;RAIFF KAG/RAIFF NACHH RENT R T;Austria;1.0;1.0;0.0;1.0;0.5;1.0;1.0;1.0
AT0000805486_2779;RAIFF KAG/RAI ESG GLO RENT R T;Austria;1.0;1.0;0.0;1.0;0.5;1.0;1.0;1.0
AT0000810056_3230;AMUNDI/KONZEPT ERTRAG AUSGEW A;Austria;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0
AT0000811286_3231;AMUNDI/AMU OEK SOZ DOLL BD T USD;Austria;1.0;1.0;0.0;1.0;0.3333333333333333;1.0;1.0;1.0
AT0000811336_3313;AMUNDI/KONZEPT ERTRAG AKT WELT A;Austria;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0
AT0000811344_3313;AMUNDI/KONZEPT ERTRAG AKT WELT T;Austria;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0
AT0000811351_3313;AMUNDI/KONZEPT ERTRAG DYN A;Austria;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0
AT0000811369_3230;AMUNDI/KONZEPT ERTRAG DYN T;Austria;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0
