ISIN_BC;Biodiversity;EET Data Set Information;Energy efficiency;Environmental;Fossil fuels;Greenhouse gas emissions;Main criterias used for a first screening of ESG related products;MiFID Sustainability Preference Flag;MiFID/IDD Target Market - Manufacturer angle (from a client perspective);Scoping according to SFDR annex template;Social;Social and employee matters;Waste;Water
AT0000774484_15;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;1.0;1.0;1.0;1.0
AT0000784756_3313;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AT0000785340_17;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;1.0
AT0000799804_3231;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AT0000799820_3313;1.0;0.4;0.0;0.0;0.0;1.0;1.0;0.5;1.0;0.5;0.0;1.0;1.0;1.0
AT0000799846_18;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AT0000799861_18;1.0;0.4;0.0;0.0;0.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;1.0
AT0000801071_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
AT0000801097_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
AT0000802491_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.75;1.0;0.6666666666666666;1.0;1.0;1.0;1.0
AT0000803689_13;1.0;0.8;0.0;1.0;0.0;1.0;1.0;0.25;1.0;0.5;1.0;1.0;1.0;1.0
AT0000803697_3233;1.0;0.8;0.0;1.0;0.0;1.0;1.0;0.25;1.0;0.5;1.0;1.0;1.0;1.0
AT0000805221_2779;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;1.0
AT0000805486_2779;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;1.0
AT0000810056_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
AT0000811286_3231;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;1.0;1.0;1.0;1.0
AT0000811336_3313;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
AT0000811344_3313;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
AT0000811351_3313;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
AT0000811369_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
AT0000811666_3230;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;1.0
AT0000811674_3230;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;1.0
AT0000812698_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;1.0;1.0;1.0;1.0
AT0000813068_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;1.0;1.0;1.0;1.0
AT0000815006_18;1.0;0.4;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;1.0
AT0000817788_3230;1.0;0.4;0.0;0.0;0.0;1.0;1.0;0.5;1.0;0.5;0.0;1.0;1.0;1.0
AT0000818885_3313;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
AT0000820139_3313;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.5;1.0;0.5;0.0;1.0;1.0;1.0
AT0000822382_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
AT0000822408_17;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
AT0000825468_3230;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AT0000825476_3230;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AT0000825484_3231;1.0;0.4;0.0;0.0;0.0;1.0;1.0;0.5;1.0;0.5;0.0;1.0;1.0;1.0
AT0000825500_3230;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AT0000828553_3313;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AT0000856505_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;1.0;1.0;1.0;1.0
AT0000857008_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.25;1.0;0.3333333333333333;1.0;1.0;1.0;1.0
AT0000857024_3230;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;1.0;1.0;1.0;1.0
AT0000857081_3231;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;1.0;1.0;1.0;1.0
AT0000857164_18;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;1.0;1.0;1.0;1.0
AT0000859236_3230;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;1.0
AT0000859509_2913;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;1.0
AT0000859582_14;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;1.0
AT0000859624_3230;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.25;0.0;0.0;0.0;1.0;1.0;1.0
AT0000946488_3230;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;1.0
AT0000947643_3230;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
AT0000948583_3230;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;1.0
AT0000969787_18;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AT0000973029_14;1.0;0.8;0.0;1.0;0.0;1.0;1.0;0.25;1.0;0.5;1.0;1.0;1.0;1.0
AT0000973037_3233;1.0;0.8;0.0;1.0;0.0;1.0;1.0;0.25;1.0;0.5;1.0;1.0;1.0;1.0
BE0057843311_3313;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;1.0;1.0;0.0;0.0
BE0142525329_3230;1.0;0.6;0.0;1.0;0.0;0.9047619047619048;1.0;0.5;1.0;0.5;1.0;0.8;1.0;1.0
BE0163900674_2731;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE0163901680_3231;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE0170209713_487;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE0170210729_2732;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
